Title,stars,ratings,reviews,prep,cook,total,servings,recipe type
easy gluten free mac,4.49,47,37,15,45,60,8,gf
gluten free oatmeal waffles,4.22,9,8,15,5,20,4,gf
turkey spaghetti zoodles,4.82,51,38,15,9,24,5,gf
paleo pecan maple salmon,4.53,100,50,15,12,147,4,gf
gluten free banana walnut chia muffins,5,23,18,15,22,52,12,gf
air fryer potato wedges,4.84,96,51,5,30,35,4,med
mediterranean orzo salad,4.92,12,8,20,15,55,6,med
grilled octopus,4.45,11,4,15,60,105,6,med
greek salad,4.5,269,186,20,0,20,6,med
sugo di pomodoro,4.86,21,13,5,25,30,4,med
roasted cauliflower rice,4.48,65,45,20,27,47,8,diabetic
zucchini tomato saute,4.17,105,74,20,25,45,6,diabetic
the best dry-roasted chickpea recipe,4.61,88,61,10,44,54,4,diabetic
steal cut oats and quinoa breakfast,5,13,9,5,20,4,4,diabetic
meyer lemon avocado toast,4.78,65,41,10,3,13,2,diabetic
keto cauliflower bacon cheese mash,5,8,6,15,20,40,4,keto
keto pumpkin cheesecake with almond pecan crust,4.43,7,1,10,55,345,16,keto
no-churn keto ice cream,4,5,6,7,10,190,3,keto
keto spaghetti squash with bacon and blue cheese,5,25,18,15,60,75,2,keto
simple keto cauliflower casserole,4.75,81,57,10,34,45,2,keto
zucchini nachos,4.88,8,2,45,15,90,6,lowcarb
pepperoni meatza,4.43,93,67,30,15,45,6,lowcarb
southwest egg and cheese boats,4,2,2,10,30,43,2,lowcarb
grilled salmon radicchio wraps,3.67,3,3,30,0,30,4,lowcarb
laura's breadless fried egg sandwich,3.8,5,4,5,16,21,1,lowcarb
